mode,confidence,max_det,score,map50,fp_score,precision,recall,tp,fp,fn,predictions,gt,per_class_confidence
global,0.05,20,0.3786596524069907,0.27554386512276224,0.5333333333333333,0.30578512396694213,0.4728434504792332,148,336,165,484,313,
global,0.05,50,0.2862225630729127,0.3279635310474472,0.2236111111111111,0.253671562082777,0.6070287539936102,190,559,123,749,313,
global,0.05,100,0.21841468324042743,0.3334689165118234,0.04583333333333339,0.22460496613995484,0.6357827476038339,199,687,114,886,313,
global,0.05,300,0.21841468324042743,0.3334689165118234,0.04583333333333339,0.22460496613995484,0.6357827476038339,199,687,114,886,313,
global,0.1,20,0.41823717707373265,0.2729878877154804,0.6361111111111111,0.35626535626535627,0.46325878594249204,145,262,168,407,313,
global,0.1,50,0.36765820280334804,0.31739330096854307,0.44305555555555554,0.307426597582038,0.5686900958466453,178,401,135,579,313,
global,0.1,100,0.34900484979127827,0.31963771261509344,0.3930555555555555,0.2928802588996764,0.5782747603833865,181,437,132,618,313,
global,0.1,300,0.34900484979127827,0.31963771261509344,0.3930555555555555,0.2928802588996764,0.5782747603833865,181,437,132,618,313,
global,0.15,20,0.43752966784148717,0.26903092788396,0.6902777777777778,0.3873626373626374,0.4504792332268371,141,223,172,364,313,
global,0.15,50,0.41014894248326667,0.3113593485832222,0.5583333333333333,0.3496932515337423,0.5463258785942492,171,318,142,489,313,
global,0.15,100,0.41014894248326667,0.3113593485832222,0.5583333333333333,0.3496932515337423,0.5463258785942492,171,318,142,489,313,
global,0.15,300,0.41014894248326667,0.3113593485832222,0.5583333333333333,0.3496932515337423,0.5463258785942492,171,318,142,489,313,
global,0.2,20,0.4480453720302743,0.2615571015319387,0.7277777777777777,0.4078549848942598,0.43130990415335463,135,196,178,331,313,
global,0.2,50,0.44186930922743356,0.2883007005642411,0.6722222222222223,0.39641943734015345,0.4952076677316294,155,236,158,391,313,
global,0.2,100,0.44186930922743356,0.2883007005642411,0.6722222222222223,0.39641943734015345,0.4952076677316294,155,236,158,391,313,
global,0.2,300,0.44186930922743356,0.2883007005642411,0.6722222222222223,0.39641943734015345,0.4952076677316294,155,236,158,391,313,
global,0.25,20,0.458398276946286,0.26029342454010634,0.7555555555555555,0.432258064516129,0.4281150159744409,134,176,179,310,313,
global,0.25,50,0.45403216754445214,0.2715350940555684,0.7277777777777777,0.4218289085545723,0.45686900958466453,143,196,170,339,313,
global,0.25,100,0.45403216754445214,0.2715350940555684,0.7277777777777777,0.4218289085545723,0.45686900958466453,143,196,170,339,313,
global,0.25,300,0.45403216754445214,0.2715350940555684,0.7277777777777777,0.4218289085545723,0.45686900958466453,143,196,170,339,313,
global,0.3,20,0.4653245373143846,0.2514668214499002,0.7861111111111111,0.45195729537366547,0.4057507987220447,127,154,186,281,313,
global,0.3,50,0.4637685974118674,0.2562809956864455,0.775,0.447098976109215,0.4185303514376997,131,162,182,293,313,
global,0.3,100,0.4637685974118674,0.2562809956864455,0.775,0.447098976109215,0.4185303514376997,131,162,182,293,313,
global,0.3,300,0.4637685974118674,0.2562809956864455,0.775,0.447098976109215,0.4185303514376997,131,162,182,293,313,
global,0.35,20,0.4765319316954899,0.24514581208507577,0.8236111111111111,0.4899598393574297,0.38977635782747605,122,127,191,249,313,
global,0.35,50,0.4763573800977483,0.24763267053328428,0.8194444444444444,0.4881889763779528,0.3961661341853035,124,130,189,254,313,
global,0.35,100,0.4763573800977483,0.24763267053328428,0.8194444444444444,0.4881889763779528,0.3961661341853035,124,130,189,254,313,
global,0.35,300,0.4763573800977483,0.24763267053328428,0.8194444444444444,0.4881889763779528,0.3961661341853035,124,130,189,254,313,
global,0.4,20,0.475970175323241,0.22661695887206826,0.85,0.509090909090909,0.35782747603833864,112,108,201,220,313,
global,0.4,50,0.475970175323241,0.22661695887206826,0.85,0.509090909090909,0.35782747603833864,112,108,201,220,313,
global,0.4,100,0.475970175323241,0.22661695887206826,0.85,0.509090909090909,0.35782747603833864,112,108,201,220,313,
global,0.4,300,0.475970175323241,0.22661695887206826,0.85,0.509090909090909,0.35782747603833864,112,108,201,220,313,
global,0.45,20,0.48704080034755465,0.21821614872740594,0.8902777777777777,0.572972972972973,0.33865814696485624,106,79,207,185,313,
